Rank,School,Town,Type,A-level(%A*),A-level(% A*/A),A-level(%A*/B),A-level_rank,GCSE_(%9/8/7),GCSE_rank,FINAL URL ,corrected name,KS2ASS,ATT8SCR
99,Torquay Girls' Grammar School,Torquay,Selective (100%),17.9,43.9,75,88=,58.7,114,136506,Torquay Girls Grammar School,112.6,68.8
104,Caistor Grammar School,Caistor,Selective (100%),27.5,53.5,73.3,111=,58.7,114,136350,Caistor Grammar School,112.3,71.1
162,Poole Grammar School,Poole,Selective (100%),11.8,35.6,63.4,213,58.6,116,136850,Poole Grammar School,113,71
97,Belfast Royal Academy,Belfast,Selective (100%),13.3,43.9,75.8,82=,57.8,117,999999,not an English school,#N/A,#N/A
101,The Cardinal Vaughan Memorial School,London,Comprehensive,16.6,45.4,75.2,86=,57.8,117,141931,The Cardinal Vaughan Memorial RC School,109.2,67.4
119,Burnham Grammar School,Burnham,Selective (100%),13.6,38.5,70.8,130,57.1,119,137564,Burnham Grammar School,111.8,69.9
124,Dane Court Grammar School,Broadstairs,Selective (100%),13.3,38.4,70.4,133,56.7,120,136585,Dane Court Grammar School,111.5,68.6
188,King Edward VI Aston School,Birmingham,Selective (100%),8.5,34.2,59.7,261,56.5,121,137043,King Edward VI Aston School,113.9,69.3
150,Rosebery School,Epsom,Comprehensive,14.5,37.8,66.4,176,56.3,122,137736,Rosebery School,108.1,62.6
132,The Grey Coat Hospital,London,Partially selective (10%),13.3,41.1,70.1,135,56.2,123,138313,The Grey Coat Hospital,108.9,66.6
92,"The King's School, Grantham",Grantham,Selective (100%),20.9,49.4,78.1,63,55.8,124,137166,"The King's School, Grantham",110.4,70.7
139,Kesteven and Grantham Girls' School,Grantham,Selective (100%),15,35.9,68.9,150,55.6,125,138638,Kesteven and Grantham Girls' School,110.3,69.5
100,Sir Joseph Williamson's Mathematical School,Rochester,Selective (100%),18.3,46.3,76.6,72,55.3,126,136662,Sir Joseph Williamson's Mathematical School,111.2,70.3
108,Hasmonean High School for Girls,London,Comprehensive,17,52,74,99,55,127,147238,Hasmonean High School for Girls,107.4,62.1
112,Omagh Academy,Omagh,Selective (100%),12.6,42.1,73.4,110,54.8,128,999999,not an English school,#N/A,#N/A
88,Camden School for Girls,London,Partially selective (7%),20,53,79.1,60,54.6,129,100054,The Camden School for Girls,110,65.4
165,Highworth Grammar School,Ashford,Selective (100%),11.1,32.4,64.6,203,54.4,130,136379,Highworth Grammar School,111.4,68.8
159,Watford Grammar School for Girls,Watford,Partially selective (35%),17.5,38.9,65.8,187,54.4,130,136289,Watford Grammar School for Girls,109.9,66.9
144,Methodist College Belfast,Belfast,Selective (100%),11.1,36.5,67.9,157=,54.4,130,999999,not an English school,#N/A,#N/A
123,Watford Grammar School for Boys,Watford,Partially selective (35%),18.5,48.5,71.7,123,54.3,133,136276,Watford Grammar School for Boys,109.9,66.5
146,Ripon Grammar School,Ripon,Selective (100%),15.3,41.7,67.8,160,54.2,134,121694,Ripon Grammar School,110.5,69.1
172,Bourne Grammar School,Bourne,Selective (100%),11,33.4,63.3,214,54.1,135,137793,Bourne Grammar School,111.1,68.1
217,North Halifax Grammar School,Halifax,Selective (100%),6.7,26,56.7,300=,54,136,136788,The North Halifax Grammar School,113.3,68.4
154,Cranbrook School,Cranbrook,Selective (100%),12.6,36.6,67.4,166,53.8,137,137739,Cranbrook School,110.9,69.1
73,"St Paul's School for Girls, Edgbaston",Birmingham,Comprehensive,12.1,46.5,82.3,47,53.3,138,103531,St Paul's School for Girls,107.3,65.1
214,Devonport High School for Boys,Plymouth,Selective (100%),-,-,58,283,53.1,139,136496,Devonport High School for Boys,112.9,68.9
119,Lady Margaret School,London,Comprehensive,14.1,45.7,73.1,113,52.6,140,138607,Lady Margaret School,110.2,65.4
165,The Holt School,Wokingham,Comprehensive,11.9,35.1,66,184,51.7,141,136880,The Holt School,108.4,64.6
106,Carrickfergus Grammar School,Carrickfergus,Selective (100%),7.7,37.4,76.2,76=,51.6,142,999999,not an English school,#N/A,#N/A
